UT                                    BX_FGS-D               BY_FGS-D               BZ_FGS-D
                                        (@_1_)                 (@_2_)                 (@_3_)
dd-mm-yyyy hh:mm:ss.ms         nT_GSE_(All_Qs)        nT_GSE_(All_Qs)        nT_GSE_(All_Qs)
17-03-2015 03:20:56.309               -1.98048                4.93799                27.9203
17-03-2015 03:21:00.387               -3.66341                6.02934                27.8266
17-03-2015 03:21:04.465               -5.27044                11.8512                28.0984
17-03-2015 03:21:08.543               -7.39774                10.9966                27.2793
17-03-2015 03:21:12.621               -16.1011                14.2418                27.5955
17-03-2015 03:21:16.699               -7.99392                12.3473                26.9469
17-03-2015 03:21:20.778               -6.89251                8.73439                25.3660
17-03-2015 03:21:24.856               -4.52176                7.90384                26.4093
17-03-2015 03:21:28.934               -3.47370                10.7213                28.0534
17-03-2015 03:21:33.012               -5.42315                11.9841                28.1513
17-03-2015 03:21:37.090               -5.40130                9.64793                28.3667
17-03-2015 03:21:41.168               -5.89046                10.0111                26.7609
17-03-2015 03:21:45.247               -1.76953                10.1852                31.3024
17-03-2015 03:21:49.325              -0.260883                8.44778                33.5548
17-03-2015 03:21:53.403               -3.12235                8.83783                30.4538
17-03-2015 03:21:57.481               -5.02007                10.0961                32.7558
17-03-2015 03:22:01.559               -5.16310                11.1663                30.2006
17-03-2015 03:22:05.638               -1.79764                11.9328                31.5648
17-03-2015 03:22:09.716               -3.19981                8.10244                30.4551
17-03-2015 03:22:13.794               -2.72258                8.99111                29.9114
17-03-2015 03:22:17.872               -1.96528                6.03264                29.4335
17-03-2015 03:22:21.950               -4.18159                11.2707                32.2574
17-03-2015 03:22:26.028               -4.51065                9.72080                34.3647
17-03-2015 03:22:30.107               -3.41906                7.48581                32.3023
17-03-2015 03:22:34.185               -5.07749                12.2909                33.6805
17-03-2015 03:22:38.263               -2.72054                5.55134                35.0972
17-03-2015 03:22:42.341              -0.356500                3.72954                37.8551
17-03-2015 03:22:46.419                2.19734              -0.560412                32.8430
17-03-2015 03:22:50.497                1.45990                8.73016                35.0900
17-03-2015 03:22:54.576               -1.89629                4.63031                36.2882
17-03-2015 03:22:58.654                3.57310                4.33192                36.6375
17-03-2015 03:23:02.732               0.377807                3.65042                35.7770
17-03-2015 03:23:06.810               0.171377                3.27653                34.5613
17-03-2015 03:23:10.888              -0.303621                4.58200                33.8107
17-03-2015 03:23:14.967               -5.82215                6.82668                31.5772
17-03-2015 03:23:19.045               -3.21651                5.42529                32.2823
17-03-2015 03:23:23.123               -2.61751                5.13117                33.4886
17-03-2015 03:23:27.201               -2.05925                7.16769                31.0620
17-03-2015 03:23:31.279               -5.26044                8.64774                36.6927
17-03-2015 03:23:35.357               -4.37163                7.35792                34.0772
17-03-2015 03:23:39.436               -3.39739                7.92245                34.3271
17-03-2015 03:23:43.514              -0.467084                9.42409                34.8928
17-03-2015 03:23:47.592               -2.83643                6.72597                33.6647
17-03-2015 03:23:51.670              -0.105261                8.08378                35.5815
17-03-2015 03:23:55.748               -2.12149                8.44319                33.9023
17-03-2015 03:23:59.827               -2.42446                11.0271                31.1874
17-03-2015 03:24:03.905               -3.82878                10.1103                31.4464
17-03-2015 03:24:07.983               -3.21169                9.11054                31.9196
17-03-2015 03:24:12.061              0.0630516                9.65685                28.5799
17-03-2015 03:24:16.139               -1.60201                7.83395                27.9495
17-03-2015 03:24:20.217               -1.48051                7.68133                26.9259
17-03-2015 03:24:24.296               -5.33251                7.67670                29.1557
17-03-2015 03:24:28.374               -5.65335                10.1852                30.1007
17-03-2015 03:24:32.452               -3.39609                9.20716                33.1336
17-03-2015 03:24:36.530               -2.85106                11.8489                29.3245
17-03-2015 03:24:40.608               -3.66437                9.79129                27.6636
17-03-2015 03:24:44.686               -2.52598                8.90688                31.2241
17-03-2015 03:24:48.765               -3.33797                7.19340                35.9287
17-03-2015 03:24:52.843               -10.1479                10.0309                28.6190
17-03-2015 03:24:56.921               -6.92677                10.3003                26.6006
17-03-2015 03:25:00.999               -5.36682                12.6197                29.9055
17-03-2015 03:25:05.077               0.462599                12.3564                35.9978
17-03-2015 03:25:09.156               -4.33141                8.83754                30.2855
17-03-2015 03:25:13.234               -3.13005                10.7169                32.0102
17-03-2015 03:25:17.312                1.35838                6.85765                33.5365
17-03-2015 03:25:21.390               -6.37715                4.70057                30.5233
17-03-2015 03:25:25.468               -4.07246                9.61440                31.2744
17-03-2015 03:25:29.546               -5.44228                9.08174                31.1675
17-03-2015 03:25:33.625               -3.09469                7.13778                32.5719
17-03-2015 03:25:37.703               -3.95018                10.4347                31.8615
17-03-2015 03:25:41.781               -8.42525                9.17497                32.3226
17-03-2015 03:25:45.859               -7.09929                12.0434                31.9903
17-03-2015 03:25:49.937               -2.09603                12.0780                31.6991
17-03-2015 03:25:54.015               -2.51744                10.9827                36.3706
17-03-2015 03:25:58.094               -7.41430                15.7339                36.0623
17-03-2015 03:26:02.172               -2.77593                15.3991                26.8321
17-03-2015 03:26:06.250               -4.05059                15.2844                33.5905
